gene_symbol,gene_symbol_official,gene_name,gene_description,gene_type,aliases,other_names,ensembl_gene_id,ensembl_transcript_ids,ensembl_protein_ids,uniprot_swissprot,uniprot_trembl,uniprot_entry_name,entrez_gene_id,refseq_mrna,refseq_protein,refseq_genomic,hgnc_id,omim_id,pharmgkb_id,string_id,pdb_ids,ec_number,interpro_domains,pfam_domains,prosite_domains,chromosome,start_position,end_position,strand,protein_length,subcellular_location,taxonomy_id,homologene_id,wikipedia_url,pathways
ACHE,ACHE,acetylcholinesterase (Yt blood group),"Acetylcholinesterase hydrolyzes the neurotransmitter, acetylcholine at neuromuscular junctions and brain cholinergic synapses, and thus terminates signal transmission. It is also found on the red blood cell membranes, where it constitutes the Yt blood group antigen. Acetylcholinesterase exists in multiple molecular forms which possess similar catalytic properties, but differ in their oligomeric assembly and mode of cell attachment to the cell surface. It is encoded by the single ACHE gene, and the structural diversity in the gene products arises from alternative mRNA splicing, and post-translational associations of catalytic and structural subunits. The major form of acetylcholinesterase found in brain, muscle and other tissues is the hydrophilic species, which forms disulfide-linked oligomers with collagenous, or lipid-containing structural subunits. The other, alternatively spliced form, expressed primarily in the erythroid tissues, differs at the C-terminal end, and contains a cleavable hydrophobic peptide with a GPI-anchor site. It associates with the membranes through the phosphoinositide (PI) moieties added post-translationally. AChE activity may constitute a sensitive biomarker of RBC ageing in vivo, and thus, may be of aid in understanding the effects of transfusion[provided by RefSeq, Sep 2019].",protein-coding,ACEE|ARACHE|N-ACHE|YT,Yt blood group|acetylcholinesterase|acetylcholinesterase (Cartwright blood group)|apoptosis-related acetylcholinesterase,ENSG00000087085,ENST00000241069|ENST00000302913|ENST00000411582|ENST00000412389|ENST00000419336|ENST00000426415|ENST00000428317|ENST00000430554|ENST00000440755|ENST00000441605,ENSP00000241069|ENSP00000303211|ENSP00000390004|ENSP00000394976|ENSP00000396360|ENSP00000397143|ENSP00000399725|ENSP00000400933|ENSP00000403474|ENSP00000404865,P22303,F8WD68|A0A498U6H7|C9JZL6|C9J2S3|C9JD78,ACES_HUMAN,43,NM_000665.5|NM_001282449.2|NM_001302621.3|NM_001302622.2|NM_001367915.1|NM_001367917.1|NM_001367918.1|NM_001367919.2|NM_015831.2|NR_160407.1,NP_000656.1|NP_001269378.1|NP_001289550.1|NP_001289551.1|NP_001354844.1|NP_001354846.1|NP_001354847.1|NP_001354848.1,NC_000007.14|NC_060931.1|NG_007474.2,108,100740,PA20,9606.ENSP00000303211,1B41|1F8U|1VZJ|2X8B|3LII|4BDT|4EY4|4EY5|4EY6|4EY7|4EY8|4M0E|4M0F|4PQE|5FOQ|5FPQ|5HF5|5HF6|5HF8|5HF9,3.1.1.7,IPR000997|IPR002018|IPR014788|IPR019819|IPR019826|IPR029058|IPR050654,PF00135|PF08674,,7,100889994.0,100897022.0,-1.0,614,Synapse|Secreted|Cell membrane,9606,543.0,Acetylcholinesterase,kegg:hsa00564|kegg:hsa04725|reactome:R-HSA-112311|reactome:R-HSA-112315|reactome:R-HSA-112316|reactome:R-HSA-1430728|reactome:R-HSA-1483191|wikipathways:WP3298|wikipathways:WP528|wikipathways:WP550|wikipathways:WP727
DPP4,DPP4,dipeptidyl peptidase 4,"The DPP4 gene encodes dipeptidyl peptidase 4, which is identical to adenosine deaminase complexing protein-2, and to the T-cell activation antigen CD26. It is an intrinsic type II transmembrane glycoprotein and a serine exopeptidase that cleaves X-proline dipeptides from the N-terminus of polypeptides. Dipeptidyl peptidase 4 is highly involved in glucose and insulin metabolism, as well as in immune regulation. This protein was shown to be a functional receptor for Middle East respiratory syndrome coronavirus (MERS-CoV), and protein modeling suggests that it may play a similar role with SARS-CoV-2, the virus responsible for COVID-19. [provided by RefSeq, Apr 2020].",protein-coding,ADABP|ADCP2|CD26|DPPIV|TP103,ADCP-2|DPP IV|Gly-Pro naphthylamidase|Post-proline dipeptidyl aminopeptidase IV|T-cell activation antigen CD26,ENSG00000197635,ENST00000360534|ENST00000413651|ENST00000416189|ENST00000434918|ENST00000461836|ENST00000468903|ENST00000490286|ENST00000491591|ENST00000494507|ENST00000497461,ENSP00000353731|ENSP00000401359|ENSP00000402259|ENSP00000410264|ENSP00000502931|ENSP00000503008|ENSP00000503161|ENSP00000503481|ENSP00000503735|ENSP00000504157,P27487,A0A7I2V5R8|A0A7I2V2X8|F8WBB6|A0A7I2V3F5|F8WE17,DPP4_HUMAN,1803,NM_001379604.1|NM_001379605.1|NM_001379606.1|NM_001935.4|NR_166822.1|NR_166823.1|NR_166824.1|NR_166825.1,NP_001366533.1|NP_001366534.1|NP_001366535.1|NP_001926.2,NC_000002.12|NC_060926.1,3009,102720,PA27467,9606.ENSP00000353731,1J2E|1N1M|1NU6|1NU8|1PFQ|1R9M|1R9N|1RWQ|1TK3|1TKR|1U8E|1W1I|1WCY|1X70|2AJL|2BGN|2BGR|2BUB|2FJP|2G5P,3.4.14.5,IPR001375|IPR002469|IPR002471|IPR029058|IPR050278,PF00326|PF00930,,2,161992244.0,162074394.0,-1.0,766,Secreted,9606,3279.0,Dipeptidyl peptidase-4,reactome:R-HSA-2980736|reactome:R-HSA-381771|reactome:R-HSA-392499|reactome:R-HSA-400508|reactome:R-HSA-400511
TNF,TNF,tumor necrosis factor,"This gene encodes a multifunctional proinflammatory cytokine that belongs to the tumor necrosis factor (TNF) superfamily. This cytokine is mainly secreted by macrophages. It can bind to, and thus functions through its receptors TNFRSF1A/TNFR1 and TNFRSF1B/TNFBR. This cytokine is involved in the regulation of a wide spectrum of biological processes including cell proliferation, differentiation, apoptosis, lipid metabolism, and coagulation. This cytokine has been implicated in a variety of diseases, including autoimmune diseases, insulin resistance, psoriasis, rheumatoid arthritis ankylosing spondylitis, tuberculosis, autosomal dominant polycystic kidney disease, and cancer. Mutations in this gene affect susceptibility to cerebral malaria, septic shock, and Alzheimer disease. Knockout studies in mice also suggested the neuroprotective function of this cytokine. [provided by RefSeq, Aug 2020].",protein-coding,DIF|IMD127|TNF-alpha|TNFA|TNFSF2|TNLG1F,"APC1 protein|TNF, macrophage-derived|TNF, monocyte-derived|TNF-a|tumor necrosis factor",ENSG00000228321,ENST00000412275,ENSP00000392858,P01375,A0A8V8TNL2|Q5STB3,TNFA_HUMAN,7124,NM_000594.4,NP_000585.2,NC_000006.12|NC_060930.1|NG_007462.1|NT_113891.3|NT_167244.2,11892,191160,PA435,9606.ENSP00000398698,1A8M|1TNF|2AZ5|2E7A|2TUN|2ZJC|2ZPX|3ALQ|3IT8|3L9J|3WD5|4G3Y|4TSV|4TWT|4Y6O|5M2I|5M2J|5M2M|5MU8|5TSW,,IPR002959|IPR006052|IPR006053|IPR008983|IPR021184,PF00229,PS50049,HSCHR6_MHC_QBL_CTG1,2831386.0,2834157.0,1.0,233,Cell membrane,9606,496.0,Tumor necrosis factor-alpha,biocarta:cdmacpathway|biocarta:ceramidepathway|biocarta:hivnefpathway|biocarta:hsp27pathway|biocarta:il10pathway|kegg:hsa04010|kegg:hsa04060|kegg:hsa04061|kegg:hsa04064|kegg:hsa04071|netpath:Pathway_TNFalpha|netpath:Pathway_TWEAK|pid:amb2_neutrophils_pathway|pid:angiopoietinreceptor_pathway|pid:anthraxpathway|pid:caspase_pathway|pid:cd8tcrdownstreampathway|wikipathways:WP129|wikipathways:WP1449|wikipathways:WP15|wikipathways:WP1533|wikipathways:WP1544
IL1B,IL1B,interleukin 1 beta,"The protein encoded by this gene is a member of the interleukin 1 cytokine family. This cytokine is produced by activated macrophages as a proprotein, which is proteolytically processed to its active form by caspase 1 (CASP1/ICE). This cytokine is an important mediator of the inflammatory response, and is involved in a variety of cellular activities, including cell proliferation, differentiation, and apoptosis. The induction of cyclooxygenase-2 (PTGS2/COX2) by this cytokine in the central nervous system (CNS) is found to contribute to inflammatory pain hypersensitivity. Similarly, IL-1B has been implicated in human osteoarthritis pathogenesis. Patients with severe Coronavirus Disease 2019 (COVID-19) present elevated levels of pro-inflammatory cytokines such as IL-1B in bronchial alveolar lavage fluid samples. The lung damage induced by the Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is to a large extent, a result of the inflammatory response promoted by cytokines such as IL-1B. This gene and eight other interleukin 1 family genes form a cytokine gene cluster on chromosome 2. [provided by RefSeq, Jul 2020].",protein-coding,IL-1|IL1-BETA|IL1F2|IL1beta,IL-1 beta|catabolin|interleukin 1beta|interleukin-1 beta|preinterleukin 1 beta,ENSG00000125538,ENST00000263341|ENST00000416750|ENST00000418817|ENST00000432018|ENST00000477398|ENST00000487639|ENST00000491056|ENST00000496280,ENSP00000263341|ENSP00000400854|ENSP00000407219|ENSP00000409680,P01584,C9JWV2|C9JSC2|C9JVK0,IL1B_HUMAN,3553,NM_000576.3|XM_047444175.1|XM_054341810.1,NP_000567.1|XP_047300131.1|XP_054197785.1,NC_000002.12|NC_060926.1|NG_008851.1,5992,147720,PA29808,9606.ENSP00000263341,1HIB|1I1B|1IOB|1ITB|1L2H|1S0L|1T4Q|1TOO|1TP0|1TWE|1TWM|21BI|2I1B|2KH2|2NVH|31BI|3LTQ|3O4O|3POK|41BI,,IPR003502|IPR000975|IPR008996|IPR020877,PF00340|PF02394,,2,112829751.0,112836816.0,-1.0,269,"Cytoplasm, cytosol|Secreted|Lysosome",9606,481.0,IL1B,biocarta:il1rpathway|biocarta:nthipathway|kegg:hsa04010|kegg:hsa04060|kegg:hsa04064|kegg:hsa04217|kegg:hsa04380|pid:anthraxpathway|pid:ifngpathway|pid:il12_2pathway|pid:il1pathway|pid:il23pathway|reactome:R-HSA-1280215|reactome:R-HSA-1643685|reactome:R-HSA-168249|reactome:R-HSA-168256|reactome:R-HSA-446652|wikipathways:WP1433|wikipathways:WP1449|wikipathways:WP1455|wikipathways:WP15|wikipathways:WP1533
IL6,IL6,interleukin 6,"This gene encodes a cytokine that functions in inflammation and the maturation of B cells. In addition, the encoded protein has been shown to be an endogenous pyrogen capable of inducing fever in people with autoimmune diseases or infections. The protein is primarily produced at sites of acute and chronic inflammation, where it is secreted into the serum and induces a transcriptional inflammatory response through interleukin 6 receptor, alpha. The functioning of this gene is implicated in a wide variety of inflammation-associated disease states, including suspectibility to diabetes mellitus and systemic juvenile rheumatoid arthritis. Elevated levels of the encoded protein have been found in virus infections, including COVID-19 (disease caused by SARS-CoV-2). [provided by RefSeq, Aug 2020].",protein-coding,BSF-2|BSF2|CDF|HGF|HSF|IFN-beta-2|IFNB2|IL-6,B-cell differentiation factor|B-cell stimulatory factor 2|CTL differentiation factor|hybridoma growth factor|interferon beta-2,ENSG00000136244,ENST00000258743|ENST00000401630|ENST00000401651|ENST00000404625|ENST00000406575|ENST00000407492|ENST00000426291|ENST00000464710|ENST00000485300|ENST00000964192,ENSP00000258743|ENSP00000384928|ENSP00000385043|ENSP00000385227|ENSP00000385675|ENSP00000385718|ENSP00000405150|ENSP00000512964|ENSP00000634251,P05231,B5MC21|Q75MH2|B4DVM1|B4DNQ5|B5MCZ3,IL6_HUMAN,3569,NM_000600.5|NM_001318095.2|NM_001371096.1|XM_005249745.6|XM_054358145.1|XM_054358146.1,NP_000591.1|NP_001305024.1|NP_001358025.1|XP_005249802.1|XP_054214120.1|XP_054214121.1,NC_000007.14|NC_060931.1|NG_011640.1,6018,147620,PA198,9606.ENSP00000385675,1ALU|1IL6|1P9M|2IL6|4CNI|4J4L|4NI7|4NI9|4O9H|4ZS7|5FUC|7NXZ|8D82|8QY5|8QY6|8YWQ|8YWR,,IPR003574|IPR009079|IPR030473|IPR030474,PF00489,,7,22725884.0,22732002.0,1.0,212,Secreted,9606,502.0,Interleukin 6,biocarta:her2pathway|biocarta:il10pathway|biocarta:il1rpathway|biocarta:il6pathway|kegg:hsa04060|kegg:hsa04061|kegg:hsa04066|kegg:hsa04068|kegg:hsa04151|pid:amb2_neutrophils_pathway|pid:ap1_pathway|pid:atf2_pathway|pid:fra_pathway|pid:il23pathway|reactome:R-HSA-1059683|reactome:R-HSA-110056|reactome:R-HSA-112409|reactome:R-HSA-112411|reactome:R-HSA-1280215|wikipathways:WP1449|wikipathways:WP15|wikipathways:WP1533|wikipathways:WP176|wikipathways:WP2036
IL10,IL10,interleukin 10,"The protein encoded by this gene is a cytokine produced primarily by monocytes and to a lesser extent by lymphocytes. This cytokine has pleiotropic effects in immunoregulation and inflammation. It down-regulates the expression of Th1 cytokines, MHC class II Ags, and costimulatory molecules on macrophages. It also enhances B cell survival, proliferation, and antibody production. This cytokine can block NF-kappa B activity, and is involved in the regulation of the JAK-STAT signaling pathway. Knockout studies in mice suggested the function of this cytokine as an essential immunoregulator in the intestinal tract. Mutations in this gene are associated with an increased susceptibility to HIV-1 infection and rheumatoid arthritis. [provided by RefSeq, May 2020].",protein-coding,CSIF|GVHDS|IL-10|IL10A|TGIF,T-cell growth inhibitory factor|cytokine synthesis inhibitory factor|interleukin-10,ENSG00000136634,ENST00000367099|ENST00000423557|ENST00000471071|ENST00000640756|ENST00000659065|ENST00000659642|ENST00000664374,ENSP00000412237|ENSP00000493073|ENSP00000499509|ENSP00000499588|ENSP00000499664,P22301,A0A286YEX3|Q6FGW4|A0A590UK12,IL10_HUMAN,3586,NM_000572.3|NM_001382624.1|NR_168466.1|NR_168467.1,NP_000563.1|NP_001369553.1,NC_000001.11|NC_060925.1|NG_012088.1,5962,124092,PA29778,9606.ENSP00000412237,1ILK|1INR|1J7V|1LK3|1Y6K|2H24|2ILK|6X93|8SVE,,IPR000098|IPR009079|IPR020423|IPR020443,PF00726,,1,206767602.0,206774541.0,-1.0,178,Secreted,9606,478.0,Interleukin 10,kegg:hsa04060|kegg:hsa04061|kegg:hsa04068|kegg:hsa04625|kegg:hsa04630|pid:ap1_pathway|pid:il4_2pathway|pid:smad2_3nuclearpathway|reactome:R-HSA-1280215|reactome:R-HSA-1643685|reactome:R-HSA-168256|reactome:R-HSA-447115|reactome:R-HSA-449147|wikipathways:WP2328|wikipathways:WP3863|wikipathways:WP4141|wikipathways:WP4298|wikipathways:WP4329
IL17A,IL17F,interleukin 17F,"The protein encoded by this gene is a cytokine that shares sequence similarity with IL17. This cytokine is expressed by activated T cells, and has been shown to stimulate the production of several other cytokines, including IL6, IL8, and CSF2/GM_CSF. This cytokine is also found to inhibit the angiogenesis of endothelial cells and induce endothelial cells to produce IL2, TGFB1/TGFB, and monocyte chemoattractant protein-1. [provided by RefSeq, Jul 2008].",protein-coding,CANDF6|IL-17F|IL17A|ML-1|ML1,cytokine ML-1|interleukin-17F,ENSG00000112116,ENST00000336123|ENST00000478427|ENST00000699946,ENSP00000337432|ENSP00000514702,Q96PD4,,IL17_HUMAN,112744,NM_052872.4|NM_172343.1|XM_011514276.1|XM_054354142.1,NP_443104.1|XP_011512578.1|XP_054210117.1,NC_000006.12|NC_060930.1|NG_031869.1,16404,606496,PA29800,9606.ENSP00000497968,1JPY|3JVF|5N92|5NAN|6HG4|6HG9|6HGO|6PPG|8RUU,,IPR010345|IPR020440|IPR029034,PF06083,,6,52236681.0,52245689.0,-1.0,155,Secreted,9606,17115.0,,kegg:hsa04060|kegg:hsa04657|kegg:hsa04659|kegg:hsa05321|reactome:R-HSA-1280215|reactome:R-HSA-1643685|reactome:R-HSA-168256|reactome:R-HSA-448424|reactome:R-HSA-449147
TSLP,TSLP,thymic stromal lymphopoietin,"This gene encodes a hemopoietic cytokine proposed to signal through a heterodimeric receptor complex composed of the thymic stromal lymphopoietin receptor and the IL-7R alpha chain. It mainly impacts myeloid cells and induces the release of T cell-attracting chemokines from monocytes and enhances the maturation of CD11c(+) dendritic cells. The protein promotes T helper type 2 (TH2) cell responses that are associated with immunity in various inflammatory diseases, including asthma, allergic inflammation and chronic obstructive pulmonary disease. The protein is therefore considered a potential therapeutic target for the treatment of such diseases. In addition, the shorter (predominant) isoform is an antimicrobial protein, displaying antibacterial and antifungal activity against B. cereus, E. coli, E. faecalis, S. mitis, S. epidermidis, and C. albicans. Alternative splicing of this gene results in multiple transcript variants. [provided by RefSeq, Jul 2020].",protein-coding,,thymic stroma-derived lymphopoietin|thymic stromal lymphopoietin,ENSG00000145777,ENST00000344895|ENST00000379706|ENST00000420978,ENSP00000339804|ENSP00000399099|ENSP00000427827,Q969D9,A0A0C4DG43,TSLP_HUMAN,85480,NM_033035.5|NM_138551.5|NR_045089.2|XM_011543698.2|XM_047417846.1|XM_047417847.1|XM_054353732.1|XM_054353733.1,NP_149024.1|NP_612561.2|XP_011542000.1|XP_047273802.1|XP_047273803.1|XP_054209707.1|XP_054209708.1,NC_000005.10|NC_060929.1,30743,607003,PA162407159,9606.ENSP00000339804,5J11|5J12|5J13|8QFZ,,IPR029189|IPR038329,PF15216,,5,111070062.0,111078026.0,1.0,159,Secreted,9606,81957.0,Thymic stromal lymphopoietin,kegg:hsa04060|kegg:hsa04630|reactome:R-HSA-1266695|reactome:R-HSA-1266695|reactome:R-HSA-1280215|reactome:R-HSA-1280215|reactome:R-HSA-168256|wikipathways:WP2203|wikipathways:WP3893
IFNG,IFNG,interferon gamma,"This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015].",protein-coding,IFG|IFI|IMD69,IFN-gamma|immune interferon|interferon gamma,ENSG00000111537,ENST00000229135,ENSP00000229135,P01579,,IFNG_HUMAN,3458,NM_000619.3,NP_000610.2,NC_000012.12|NC_060936.1|NG_015840.1,5438,147570,PA29674,9606.ENSP00000229135,1EKU|1FG9|1FYH|1HIG|3BES|6E3K|6E3L,,IPR002069|IPR009079,PF00714,PS51257,12,68154768.0,68159740.0,-1.0,166,Secreted,9606,55526.0,Interferon-gamma,biocarta:41bbpathway|biocarta:ifngpathway|biocarta:il12pathway|biocarta:no2il12pathway|biocarta:tidpathway|kegg:hsa03050|kegg:hsa04060|kegg:hsa04066|kegg:hsa04217|kegg:hsa04350|pid:ap1_pathway|pid:atf2_pathway|pid:cd8tcrdownstreampathway|pid:ifngpathway|pid:il12_2pathway|reactome:R-HSA-1266738|reactome:R-HSA-1280215|reactome:R-HSA-1280215|reactome:R-HSA-168256|reactome:R-HSA-168256|wikipathways:WP15|wikipathways:WP1533|wikipathways:WP176|wikipathways:WP183|wikipathways:WP2328
BDNF,BDNF-AS,BDNF antisense RNA,,ncRNA,ANTI-BDNF|BDNF|BDNF-AS1|BDNFAS|BDNFOS|NCRNA00049,BDNF antisense RNA (non-protein coding)|BDNF antisense RNA 1 (non-protein coding)|BDNF opposite strand (non-protein coding)|brain-derived neurotrophic factor opposite strand,ENSG00000245573,ENST00000499008|ENST00000499568|ENST00000500662|ENST00000501176|ENST00000501663|ENST00000502161|ENST00000530313|ENST00000530686|ENST00000532965|ENST00000650703,,P23560,,BDNF_HUMAN,497258,NR_002832.2|NR_033312.1|NR_033313.1|NR_033314.1|NR_033315.1,,NC_000011.10|NC_060935.1,20608,611468,PA134953249,9606.ENSP00000414303,1B8M|1BND,,,,,11,27506808.0,27698231.0,1.0,247,Secreted,9606,,,
NGF,NGF,nerve growth factor,"This gene is a member of the NGF-beta family and encodes a secreted protein which homodimerizes and is incorporated into a larger complex. This protein has nerve growth stimulating activity and the complex is involved in the regulation of growth and the differentiation of sympathetic and certain sensory neurons. Mutations in this gene have been associated with hereditary sensory and autonomic neuropathy, type 5 (HSAN5), and dysregulation of this gene's expression is associated with allergic rhinitis. [provided by RefSeq, Jul 2008].",protein-coding,Beta-NGF|HSAN5|NGFB,"beta-nerve growth factor|nerve growth factor (beta polypeptide)|nerve growth factor, beta subunit|pro-nerve growth factor long",ENSG00000134259,ENST00000369512|ENST00000675637|ENST00000676038|ENST00000679806|ENST00000680116|ENST00000680540|ENST00000680752|ENST00000681124|ENST00000871201|ENST00000871202,ENSP00000358525|ENSP00000502380|ENSP00000502831|ENSP00000505558|ENSP00000505694|ENSP00000506364|ENSP00000506492|ENSP00000506569|ENSP00000541260|ENSP00000541261,P01138,A0A7P0TAZ6|A0A346FYQ1,NGF_HUMAN,4803,NM_001437545.1|NM_002506.3|XM_011541518.3|XM_054336789.1,NP_001424474.1|NP_002497.2|XP_011539820.1|XP_054192764.1,NC_000001.11|NC_060925.1|NG_007944.1,7808,162030,PA162397475,9606.ENSP00000358525,1SG1|1WWW|2IFG|4EDW|4EDX|4ZBN|5JZ7|6YW8,,IPR002072|IPR019846|IPR020408|IPR020425|IPR020437|IPR029034,PF00243,PS50270,1,115285904.0,115338770.0,-1.0,241,Secreted|Endosome lumen,9606,1876.0,Nerve growth factor,biocarta:cdk5pathway|biocarta:erk5pathway|biocarta:erkpathway|biocarta:ngfpathway|biocarta:trkapathway|kegg:hsa04010|kegg:hsa04014|kegg:hsa04015|kegg:hsa04020|kegg:hsa04060|pid:p75ntrpathway|pid:pi3kplctrkpathway|pid:shp2_pathway|pid:trkrpathway|wikipathways:WP2380|wikipathways:WP382|wikipathways:WP3932|wikipathways:WP3998|wikipathways:WP4172
VEGFA,VEGFA,vascular endothelial growth factor A,"This gene is a member of the PDGF/VEGF growth factor family. It encodes a heparin-binding protein, which exists as a disulfide-linked homodimer. This growth factor induces proliferation and migration of vascular endothelial cells, and is essential for both physiological and pathological angiogenesis. Disruption of this gene in mice resulted in abnormal embryonic blood vessel formation. This gene is upregulated in many known tumors and its expression is correlated with tumor stage and progression. Elevated levels of this protein are found in patients with POEMS syndrome, also known as Crow-Fukase syndrome. Allelic variants of this gene have been associated with microvascular complications of diabetes 1 (MVCD1) and atherosclerosis. Alternatively spliced transcript variants encoding different isoforms have been described. There is also evidence for alternative translation initiation from upstream non-AUG (CUG) codons resulting in additional isoforms. A recent study showed that a C-terminally extended isoform is produced by use of an alternative in-frame translation termination codon via a stop codon readthrough mechanism, and that this isoform is antiangiogenic. Expression of some isoforms derived from the AUG start codon is regulated by a small upstream open reading frame, which is located within an internal ribosome entry site. The levels of VEGF are increased during infection with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), thus promoting inflammation by facilitating recruitment of inflammatory cells, and by increasing the level of angiopoietin II (Ang II), one of two products of the SARS-CoV-2 binding target, angiotensin-converting enzyme 2 (ACE2). In turn, Ang II facilitates the elevation of VEGF, thus forming a vicious cycle in the release of inflammatory cytokines. [provided by RefSeq, Jun 2020].",protein-coding,L-VEGF|MVCD1|VEGF|VPF,"vascular endothelial growth factor A, long form|vascular endothelial growth factor A121|vascular endothelial growth factor A165|vascular permeability factor",ENSG00000112715,ENST00000230480|ENST00000324450|ENST00000372055|ENST00000372064|ENST00000372067|ENST00000372077|ENST00000413642|ENST00000417285|ENST00000425836|ENST00000457104,ENSP00000230480|ENSP00000317598|ENSP00000361125|ENSP00000361134|ENSP00000361137|ENSP00000361148|ENSP00000388465|ENSP00000388663|ENSP00000389864|ENSP00000409911,P15692,A0A0Y0IMM4|A2A2V4|A0A0A0MSH5|H0YBI8|H0YBZ0,VEGFA_HUMAN,7422,NM_001025366.3|NM_001025367.3|NM_001025368.3|NM_001025369.3|NM_001025370.3|NM_001033756.3|NM_001171622.2|NM_001171623.2|NM_001171624.2|NM_001171625.2,NP_001020537.2|NP_001020538.2|NP_001020539.2|NP_001020540.2|NP_001020541.2|NP_001028928.1|NP_001165093.1|NP_001165094.1|NP_001165095.1|NP_001165096.1,NC_000006.12|NC_060930.1|NG_008732.1|NG_028283.4,12680,192240,PA37302,,1BJ1|1CZ8|1FLT|1KAT|1KMX|1MJV|1MKG|1MKK|1QTY|1TZH|1TZI|1VGH|1VPF|1VPP|2FJG|2FJH|2QR0|2VGH|2VPF|3BDY,,IPR000072|IPR023581|IPR027928|IPR029034|IPR050507|IPR036841,PF00341|PF14554,PS50278,6,43770184.0,43786487.0,1.0,395,Cytoplasm|Nucleus,9606,2534.0,Vascular endothelial growth factor A,biocarta:hifpathway|biocarta:no1pathway|biocarta:vegfpathway|kegg:hsa04010|kegg:hsa04014|kegg:hsa04015|kegg:hsa04020|kegg:hsa04066|pid:avb3_integrin_pathway|pid:glypican_1pathway|pid:hif1_tfpathway|pid:hif2pathway|pid:integrin1_pathway|wikipathways:WP1591|wikipathways:WP1984|wikipathways:WP2328|wikipathways:WP2374|wikipathways:WP2586
TP53,TP53,tumor protein p53,"This gene encodes a tumor suppressor protein containing transcriptional activation, DNA binding, and oligomerization domains. The encoded protein responds to diverse cellular stresses to regulate expression of target genes, thereby inducing cell cycle arrest, apoptosis, senescence, DNA repair, or changes in metabolism. Mutations in this gene are associated with a variety of human cancers, including hereditary cancers such as Li-Fraumeni syndrome. Alternative splicing of this gene and the use of alternate promoters result in multiple transcript variants and isoforms. Additional isoforms have also been shown to result from the use of alternate translation initiation codons from identical transcript variants (PMIDs: 12032546, 20937277). [provided by RefSeq, Dec 2016].",protein-coding,BCC7|BMFS5|LFS1|P53|TRP53,antigen NY-CO-13|cellular tumor antigen p53|mutant tumor protein 53|phosphoprotein p53|transformation-related protein 53,ENSG00000141510,ENST00000269305|ENST00000359597|ENST00000413465|ENST00000420246|ENST00000445888|ENST00000455263|ENST00000503591|ENST00000504290|ENST00000504937|ENST00000505014,ENSP00000269305|ENSP00000352610|ENSP00000391127|ENSP00000391478|ENSP00000398846|ENSP00000410739|ENSP00000423862|ENSP00000424104|ENSP00000425104|ENSP00000426252,P04637,H2EHT1|K7PPA8|Q53GA5|A0A087X1Q1|A0A087WT22,P53_HUMAN,7157,NM_000546.6|NM_001126112.3|NM_001126113.3|NM_001126114.3|NM_001126115.2|NM_001126116.2|NM_001126117.2|NM_001126118.2|NM_001276695.3|NM_001276696.3,NP_000537.3|NP_001119584.1|NP_001119585.1|NP_001119586.1|NP_001119587.1|NP_001119588.1|NP_001119589.1|NP_001119590.1|NP_001263624.1|NP_001263625.1,NC_000017.11|NC_060941.1|NG_017013.2,11998,191170,PA36679,9606.ENSP00000269305,1A1U|1AIE|1C26|1DT7|1GZH|1H26|1HS5|1JSP|1KZY|1MA3|1OLG|1OLH|1PES|1PET|1SAE|1SAF|1SAK|1SAL|1TSR|1TUP,,IPR002117|IPR008967|IPR010991|IPR011615|IPR012346|IPR013872|IPR036674|IPR040926,PF00870|PF07710|PF08563|PF18521,,17,7661779.0,7687546.0,-1.0,393,"Cytoplasm|Nucleus|Nucleus, PML body",9606,460.0,P53,biocarta:arfpathway|biocarta:atmpathway|biocarta:atrbrcapathway|biocarta:btg2pathway|biocarta:chemicalpathway|kegg:hsa04010|kegg:hsa04071|kegg:hsa04110|kegg:hsa04115|kegg:hsa04137|netpath:Pathway_EGFR1|netpath:Pathway_Oncostatin_M|netpath:Pathway_TGF_beta_Receptor|pid:ap1_pathway|pid:aurora_a_pathway|pid:bard1pathway|pid:hdac_classiii_pathway|pid:hif1apathway|smpdb:SMP00436|smpdb:SMP00437|smpdb:SMP00438|smpdb:SMP00439|wikipathways:WP1403|wikipathways:WP1530|wikipathways:WP1545|wikipathways:WP1601|wikipathways:WP1742
